Waypoint,State,Code,Latitude,Longitude
HATFIELD,NSW,HATF,334200S,1433900E
HELENSBURGH,NSW,HNB,341130S,1505830E
HENTY,NSW,HNTY,353130S,1470200E
HEXHAM BRIDGE,NSW,HXB,324948S,1514124E
HOLBROOK TOWNSHIP,NSW,HBKT,354350S,1471930E
HORNSBY,NSW,HSY,334130S,1510624E
HOSKINSTOWN,NSW,HST,352520S,1492700E
HOWLONG,NSW,HWG,355835S,1463730E
HUNGERFORD,NSW,HRD,290000S,1442400E
INGLEBURN,NSW,INGL,335818S,1505130E
JIBBON PT,NSW,JIBN,340506S,1511012E
JINDERA,NSW,JIA,355730S,1465315E
JUNEE,NSW,JNEE,345200S,1473500E
KIAMA,NSW,KMA,344000S,1505100E
KIANDRA,NSW,KIAN,355200S,1483000E
KINGSCLIFF,NSW,KCFF,281500S,1533418E
KIRRA,NSW,KIRA,280959S,1533121E
KOOTINGAL,NSW,KOT,310300S,1510300E
KURMOND,NSW,KRMD,333303S,1504114E
KYEAMBA PARK,NSW,KYP,352650S,1473700E
KYEAMBA TOWER,NSW,KYE,353130S,1473530E
LADYSMITH,NSW,LDH,351240S,1473100E
LAKE ALBERT,NSW,LKT,351040S,1472148E
LAKE BATHURST,NSW,LBT,350300S,1494100E
LAKE GEORGE NORTH,NSW,LGGN,345918S,1492330E
LAKE GEORGE SOUTH,NSW,LGGS,351210S,1492430E
LIGHTHORSE INTERCHANGE M7/M4,NSW,LIHR,334753S,1505115E
LONG REEF,NSW,LRF,334431S,1511917E
MACKSVILLE,NSW,MKV,304230S,1525455E
MANGOPLAH,NSW,MOP,352330S,1471430E
MANILLA,NSW,MAL,304500S,1504325E
MANLY,NSW,MNLY,334754S,1511720E
MAROUBRA BEACH,NSW,MRBR,335700S,1511524E
MARRAR,NSW,MAR,344930S,1472100E
MAYFIELD,NSW,MYF,335745S,1503730E
MENANGLE,NSW,MEG,340730S,1504430E
MICHELAGO,NSW,MHGO,354300S,1491000E
MILLS CROSS,NSW,MCRO,352215S,1492529E
MOORE PARK SUPA CENTRE,NSW,MPSC,335410S,1511253E
MOSS VALE,NSW,MSV,343131S,1502518E
MOUNT BOYCE,NSW,MTB,333707S,1501627E
MOUNT CORAMBA,NSW,MTBA,301315S,1530300E
MOUNT MOOMBIL,NSW,MOB,301902S,1525135E
MOUNT PALERANG,NSW,MPG,352600S,1493600E
MOUNT SOMERVILLE RADAR,NSW,SOV,281256S,1532534E
MOUNT VICTORIA,NSW,MVI,333500S,1501500E
MOUNT WARNING,NSW,MTWG,282400S,1531600E
MULLUMBIMBY,NSW,MBBY,283300S,1533000E
MURRUMBATEMAN,NSW,MMM,345820S,1490130E
MURRURUNDI,NSW,MUI,314600S,1505000E
MURWILLUMBAH,NSW,MUR,281930S,1532350E
NAMBUCCA HEADS,NSW,NHS,303840S,1530030E
NAROOMA,NSW,NAMA,361200S,1500800E
NECKARBOO,NSW,NKBO,320400S,1443700E
NEMINGHA,NSW,NEM,310730S,1505930E
NEPEAN BRIDGE,NSW,NPBR,334551S,1503933E
NIMBIN TV TOWERS,NSW,NTT,283230S,1531730E
NOBBYS HEAD,NSW,NBB,325454S,1514724E
NORTH HEAD,NSW,NOHD,334918S,1511730E
NORTH STAR,NSW,NSTA,285500S,1502500E
NUNDLE,NSW,NUN,312800S,1510730E
ORAN PARK,NSW,ONPK,340030S,1504431E
PARRAMATTA,NSW,PRT,334900S,1510018E
PATONGA,NSW,PAA,333306S,1511545E
PENNANT HILLS STROBE,NSW,PENH,334424S,1510412E
PENRITH,NSW,PENT,334530S,1504200E
PICKET HILL,NSW,PIL,303415S,1525900E
PICNIC PT,NSW,PNP,335848S,1510006E
PICTON,NSW,PIC,341030S,1503700E
PIGGERY,NSW,PIG,360045S,1464730E
POINT STEPHENS LIGHTHOUSE,NSW,PSS,324445S,1521230E
PROSPECT RESV,NSW,PSP,334900S,1505500E
PT DANGER,NSW,DNGR,280954S,1533306E
PUTTY,NSW,PUTY,325800S,1504500E
QUEANBEYAN,NSW,QBN,352133S,1491433E
QUIRINDI,NSW,QNDI,312926S,1503050E
RED ROCK,NSW,RER,295910S,1531330E
REDFERN RAILWAY STATION,NSW,REDF,335331S,1511155E
RIVERINA CAMPUS,NSW,RIV,350320S,1472045E
ROOKWOOD CEMETERY,NSW,RKWC,335230S,1510318E
ROSEHILL RACECOURSE,NSW,RSH,334930S,1510130E
ROSEVILLE BRIDGE,NSW,RVB,334600S,1511200E
RUSH CUTTERS BAY,NSW,RCB,335225S,1511356E
RYDE BRIDGE,NSW,RYB,334930S,1510530E
SAWTELL,NSW,SWTE,302200S,1530600E
SEA CLIFF BRIDGE,NSW,SECF,341510S,1505831E
SNOWY INTERSECTION,NSW,SYI,351100S,1475206E
SOFALA,NSW,SOFA,330100S,1494100E
SOLDIERS POINT,NSW,SRP,324200S,1520345E
SOMERTON,NSW,SMN,305630S,1503812E
SPIT BRIDGE,NSW,SPIT,334810S,1511446E
SPLIT ROCK RESV,NSW,SRR,303430S,1504200E
SPLIT SOLITARY ISLAND,NSW,SOI,301430S,1531045E
ST IVES SHOWGROUND,NSW,SIS,334218S,1511100E
STANWELL PARK,NSW,SLL,341342S,1505920E
STOTTS ISLAND,NSW,STOT,281609S,1533003E
STROUD ROAD,NSW,SRO,322048S,1515506E
STURT INTERSECTION,NSW,SUI,351312S,1474736E
SUGARLOAF MT,NSW,SLMT,312600S,1505230E
SUGARLOAF PT,NSW,SUG,322640S,1523225E
SUTHERLAND,NSW,SUD,340218S,1510320E
SUTTON ROAD OVERPASS,NSW,SUE,351100S,1491530E
SYDNEY CBD,NSW,SCTY,335200S,1511200E
SYDNEY CRICKET GROUND,NSW,SCG,335330S,1511324E
SYDNEY HEADS,NSW,SYHD,335000S,1511730E
TABULAM,NSW,TBL,285312S,1523407E
TARAGO,NSW,TAGO,350411S,1493917E
TARCUTTA,NSW,TRT,351648S,1474420E
THE OAKS,NSW,THK,340440S,1503440E
THE ROCK,NSW,RCK,351630S,1470415E
THE STAMFORD (HOTEL),NSW,APST,335552S,1511108E
TUCKERS KNOB,NSW,TUK,302036S,1525850E
TUMBULGUM,NSW,TUMB,281642S,1532800E
TWO RN,NSW,TWRN,335632S,1505308E
UKEREBAGH ISLAND,NSW,UKER,281050S,1533246E
ULLADULLA,NSW,UDA,352100S,1502900E
URANQUINTY,NSW,URA,351130S,1471445E
URUNGA,NSW,URU,302930S,1530100E
WALLABADAH,NSW,WBH,313218S,1504930E
WALLANGARRA,NSW,WGR,285500S,1515600E
WANDANDIAN,NSW,WDN,350500S,1503100E
WANTABADGERY,NSW,WAG,350330S,1474320E
WARRAGAMBA DAM,NSW,WAD,335306S,1503530E
WARRAL SILO,NSW,WASL,310900S,1505130E
WARWICK FARM,NSW,WFM,335440S,1505645E
WATERFALL,NSW,WFL,340810S,1505930E
WERRIS CREEK,NSW,WEK,312127S,1503900E
WESTMEAD,NSW,WST,334812S,1505912E
WIMMERA,NSW,WIE,310930S,1504900E
WIRRADGURIE,NSW,WDU,315400S,1520400E
WISEMANS FERRY,NSW,WSFR,332248S,1505916E
WOOLGOOLGA,NSW,WGG,300645S,1531200E
WOOLLAMIA,NSW,WOI,350111S,1503937E
WOOMARGAMA,NSW,WAM,355000S,1471455E
WYMAH FERRY,NSW,WMF,360230S,1471545E
YASS TOWNSHIP,NSW,ASST,345100S,1485500E
