Waypoint,State,Code,Latitude,Longitude
MOUNT MORGAN,QLD,MGN,233840S,1502330E
MOUNT NINDERRY,QLD,MIY,263315S,1525930E
MOUNT STEWAN,QLD,MTEW,202200S,1440300E
MOUNT TYSON,QLD,MTY,273500S,1513400E
MOUNT WALKER,QLD,MTWK,274720S,1523326E
MOUNT WHEELER,QLD,MWH,231335S,1504059E
MOUTH OF THE BLACK RIVER,QLD,MBKR,191048S,1463912E
MOUTH OF THE BOHLE RIVER,QLD,MBHR,191148S,1464206E
MT MARGARET,QLD,MMT,192100S,1463606E
MUD ISLAND,QLD,MUDI,272000S,1531500E
MUDGEERABA,QLD,MEER,280500S,1532200E
MULLEN,QLD,LLN,250212S,1530000E
MUNGALLALA,QLD,MAA,262700S,1473300E
MUNIGANEEN MT,QLD,MUNM,272430S,1515230E
MURPHY'S CREEK,QLD,MHY,272745S,1520315E
MURRAY DOWNS,QLD,MYW,250200S,1391200E
MUTARNEE,QLD,MUEE,185700S,1461800E
MYRTLE,QLD,MRTL,194200S,1463200E
NAMBOUR,QLD,NMB,263740S,1525730E
NARA INLET,QLD,NAA,200900S,1485400E
NARROOGAL,QLD,NOOG,101500S,1423000E
NERANG,QLD,NEN,275915S,1532015E
NGULUPI,QLD,NGI,101436S,1422439E
NIMROD PASSAGE,QLD,NIM,120600S,1434700E
NINDIGULLY,QLD,NDI,282100S,1484900E
NODDY REEF,QLD,NDY,134400S,1434500E
NOME,QLD,NOME,192236S,1465512E
NOONDOO,QLD,NNDO,283700S,1482600E
NOOSA HEADS,QLD,NOSA,262230S,1530700E
NORTHERN TIP BERSERKERS,QLD,NBRR,231643S,1503518E
NORWIN,QLD,NRWN,273330S,1512245E
NUDGEE TIP,QLD,NUDG,272130S,1530530E
NYCHUM,QLD,NCHU,165036S,1442742E
OLD BOMBANDY,QLD,OBY,222600S,1483800E
OLD CORK,QLD,OLCO,225600S,1415200E
ORCHARD ROCKS,QLD,ORKS,190636S,1465254E
ORFORD NESS,QLD,ORF,111800S,1424900E
OXENFORD,QLD,OFD,275300S,1531900E
PALM COVE,QLD,PCVE,164500S,1454000E
PALM FARM,QLD,PFRM,170236S,1454542E
PALM MEADOWS,QLD,PLW,280200S,1522430E
PALUMA DAM,QLD,PLU,185720S,1460840E
PARADISE GARDENS,QLD,SFG,280105S,1532230E
PARK RIDGE WATER TOWER,QLD,PKR,274216S,1530220E
PARKHURST,QLD,PRKH,231815S,1503050E
PEACOCK,QLD,PECO,184100S,1455900E
PEAK DOWNS MINE,QLD,PDNE,221500S,1481100E
PELICAN CREEK,QLD,PCCK,251400S,1505400E
PEREGIAN,QLD,PEG,263100S,1530600E
PERSEVERENCE CREEK DAM,QLD,PCKD,271820S,1520715E
PETRIE,QLD,PTI,271600S,1525830E
PICNIC BAY,QLD,PCA,191100S,1465100E
PIRATE POINT,QLD,PII,233030S,1503830E
PITTSWORTH,QLD,PWH,274315S,1513800E
PORPOISE PT,QLD,PRP,275611S,1532531E
PORT ALMA,QLD,PMA,233500S,1505130E
PORT DOUGLAS,QLD,PTD,162900S,1452750E
PORT MUSGRAVE,QLD,PMG,120000S,1415600E
PRINCESS CHARLOTTE BAY,QLD,PCB,142000S,1440700E
PROSTON,QLD,PSTO,261000S,1513600E
PURLINGBROOKE FALLS,QLD,PBF,281000S,1531600E
PURRAWUNDA,QLD,PWDA,273220S,1513730E
QUAIL ISLAND,QLD,QAI,220800S,1500000E
QUEBEC ONE,QLD,Q1,280024S,1532549E
QUEENSLAND SAC,QLD,QSAC,273330S,1530346E
QUINALOW,QLD,QLW,270620S,1513715E
RABBIT ISLAND,QLD,RIL,205000S,1485400E
RABY BAY,QLD,RBY,273100S,1531630E
RADAR SITE,QLD,RDRS,191200S,1464600E
RAINE ISLAND,QLD,RAIS,113600S,1440200E
RANNES,QLD,RNN,240600S,1500700E
RATHDOWNEY,QLD,RTY,281300S,1525200E
RATTLESNAKE ISLAND,QLD,RKI,190200S,1463640E
RED HILL,QLD,RDHI,213800S,1480300E
REDCLIFFE VALE HS,QLD,RDV,210700S,1480700E
REDLAND BAY,QLD,REDB,273600S,1531800E
REDLYNCH,QLD,REDL,165300S,1454200E
RING TANK,QLD,RIT,264500S,1530530E
ROBINA TOWN CENTRE,QLD,ROTC,280438S,1532307E
ROLLINGSTONE,QLD,RGS,190250S,1462315E
ROSEWOOD,QLD,RSWD,273810S,1523535E
ROSEWOOD ISLAND,QLD,RSEW,222400S,1494400E
ROSS RIVER DAM,QLD,RRDM,192440S,1464400E
ROUND MT,QLD,RMT,192740S,1464140E
RUSSELL ISLAND,QLD,RUIS,274000S,1532300E
SADDLE MT,QLD,SADD,164912S,1453900E
SAMSONVALE,QLD,SSV,271640S,1525115E
SANCTUARY COVE,QLD,SAU,275130S,1532230E
SANDGATE PIER,QLD,SAND,271942S,1530516E
SARAJI,QLD,SJI,222600S,1481700E
SARINA,QLD,SRIN,212530S,1491300E
SHAUNA DOWNS,QLD,SDS,243700S,1495500E
SHAW ISLAND,QLD,SHI,203048S,1490512E
SHELBURNE BAY,QLD,SHL,115300S,1430100E
SLADE POINT,QLD,SLPT,210354S,1491330E
SLOPING HUMMOCK,QLD,SGK,245100S,1522600E
SMITHFIELD,QLD,SMIF,165000S,1454100E
SOMERSET DAM,QLD,SMD,270715S,1523300E
SOUTH MISSION BEACH,QLD,SMIB,175654S,1460530E
SOUTH PINNACLE,QLD,SPN,192430S,1463800E
SOUTHEDGE,QLD,SDG,164900S,1451300E
SOUTHERN TIP BERSERKERS,QLD,SBRR,232400S,1503730E
SOUTHPORT,QLD,SPT,275500S,1532220E
SPRING MOUNTAIN,QLD,SPMT,274247S,1525308E
SPRINGBROOK,QLD,SBK,281355S,1531640E
ST GEORGES MINE,QLD,SGM,163000S,1442400E
ST HELENA ISLAND,QLD,SHIS,272242S,1531400E
STANWELL POWER STN,QLD,SPS,233000S,1502000E
STONEY CREEK,QLD,SCRK,165242S,1453918E
STORY BRIDGE,QLD,SBD,272755S,1530215E
STRATHFINELLA,QLD,SFE,232100S,1433300E
STUART,QLD,SUA,192100S,1465000E
STUMERS CREEK,QLD,STUM,263110S,1530508E
SUGAR TERMINAL,QLD,SUTR,165630S,1454600E
SUGARWORLD,QLD,SWLD,170100S,1454354E
SUN ZINC REFINERY,QLD,SUNZ,192000S,1465312E
SURBITON,QLD,SBIT,230900S,1463700E
SURFER'S PARADISE,QLD,SUPA,280000S,1532600E
SUTTONS BEACH,QLD,SBCH,271405S,1530655E
TANGORIN,QLD,TGN,214400S,1441200E
TARGET,QLD,TAR,273650S,1530738E
TELEGRAPH OFFICE,QLD,CKO,191400S,1452900E
TEMPLE BAY,QLD,TPL,121600S,1430900E
TERRANORA LAKES COUNTRY CLUB,QLD,TLC,281254S,1532825E
TEWANTIN,QLD,TWT,262400S,1530200E
THE CORNER,QLD,TCNR,191930S,1464342E
THE PINES,QLD,PIN,280830S,1532800E
THEEBINE,QLD,THB,255700S,1523300E
THOMPSON 1,QLD,THSM,170044S,1454506E
THORNTON,QLD,TORN,274900S,1522300E
THORNTON GAP,QLD,TNP,192130S,1462742E
TIMBERTOP,QLD,TBRT,165730S,1454820E
TINGALPA RESERVOIR,QLD,TING,273225S,1531001E
TOOMULLA,QLD,TOOU,190500S,1462800E
TRINITY BEACH,QLD,TRIN,164700S,1454200E
TUCKER,QLD,TKER,242900S,1491200E
UNI OF QLD ST LUCIA,QLD,UQLD,272951S,1530048E
URANGAN,QLD,URAN,251700S,1525400E
WALKERSTON,QLD,WKT,210945S,1490350E
WALLUMBILLA,QLD,WMB,263500S,1491100E
WALTER TAYLOR BRIDGE,QLD,WTBG,273020S,1525826E
WANGETTI,QLD,WAT,163954S,1453400E
WEALWANDANGIE,QLD,WWN,242500S,1480300E
WELLCAMP DOWNS,QLD,WCP,273300S,1515100E
WELLINGTON PT,QLD,WELL,272808S,1531431E
WELLSHOT,QLD,WLS,235400S,1442600E
WEST PT,QLD,WEP,190740S,1464640E
WESTERN FREEWAY,QLD,WNFE,273430S,1525642E
WESTMAR,QLD,WMR,275500S,1494300E
WETHERBY,QLD,WTB,213000S,1425000E
WHITE ROCK,QLD,WTRK,184619S,1464306E
WHITEWOOD,QLD,WHW,212900S,1433600E
WIVENHOE DAM WALL,QLD,WHDW,272340S,1523630E
WOODGATE,QLD,WOT,250700S,1523400E
WOODY PT,QLD,WYPT,271553S,1530611E
WOOMANOOKA,QLD,WNK,134400S,1413500E
WOORIM,QLD,WRM,270439S,1531211E
WYREEMA,QLD,WYR,273900S,1515130E
YAAMBA,QLD,YMA,230800S,1502200E
YABULU,QLD,YBU,191250S,1463550E
YALBOROO,QLD,ALBO,205000S,1483900E
YANDARAN,QLD,ANDA,244300S,1520700E
YANDINA,QLD,YNA,263350S,1525720E
YARRABAH,QLD,YBH,165500S,1455300E
YORKEYS KNOB,QLD,YKS,164835S,1454330E
YULABILLA,QLD,ULAB,270400S,1494200E
YURARABA,QLD,URAR,282000S,1512400E
ZUIZIN ISLAND,QLD,ZIN,100600S,1432000E
